Abbrev,State,2018 Population
CA,California,39776830
TX,Texas,28704330
FL,Florida,21312211
NY,New York,19862512
PA,Pennsylvania,12823989
IL,Illinois,12768320
OH,Ohio,11694664
GA,Georgia,10545138
NC,North Carolina,10390149
MI,Michigan,9991177
NJ,New Jersey,9032872
VA,Virginia,8525660
WA,Washington,7530552
AZ,Arizona,7123898
MA,Massachusetts,6895917
TN,Tennessee,6782564
IN,Indiana,6699629
MO,Missouri,6135888
MD,Maryland,6079602
WI,Wisconsin,5818049
CO,Colorado,5684203
MN,Minnesota,5628162
SC,South Carolina,5088916
AL,Alabama,4888949
LA,Louisiana,4682509
KY,Kentucky,4472265
OR,Oregon,4199563
OK,Oklahoma,3940521
CT,Connecticut,3588683
IA,Iowa,3160553
UT,Utah,3159345
NV,Nevada,3056824
AR,Arkansas,3020327
MS,Mississippi,2982785
KS,Kansas,2918515
NM,New Mexico,2090708
NE,Nebraska,1932549
WV,West Virginia,1803077
ID,Idaho,1753860
HI,Hawaii,1426393
NH,New Hampshire,1350575
ME,Maine,1341582
MT,Montana,1062330
RI,Rhode Island,1061712
DE,Delaware,971180
SD,South Dakota,877790
ND,North Dakota,755238
AK,Alaska,738068
DC,District of Columbia,703608
VT,Vermont,623960
WY,Wyoming,573720
