rank	county	state	area(km^2)	area(mi^2)	2010census	2018est	abschg	pctchg	seat
1	Los Angeles	California	10,509.87	4,057.88	9,818,605	10,105,518	286,193	2.92	Los Angeles
2	Cook	Illinois	2,448.38	945.33	5,194,675	5,180,493	-14,182	-0.27	Chicago
3	Harris	Texas	4,411.99	1,703.48	4,092,459	4,698,619	606,160	14.81	Houston
4	Maricopa	Arizona	23,828.26	9,200.14	3,817,117	4,410,824	593,707	15.55	Phoenix
5	San Diego	California	10,895.12	4,206.63	3,095,313	3,343,364	248,051	8.01	San Diego
6	Orange	California	2,047.56	790.57	3,010,232	3,185,968	175,736	5.84	Santa Ana
7	Miami-Dade	Florida	4,915.06	1,897.72	2,496,435	2,761,581	265,146	10.62	Miami
8	Dallas	Texas	2,256.60	871.28	2,368,139	2,637,772	269,633	11.39	Dallas
9	Kings	New York	183.41	70.82	2,504,700	2,582,830	78,130	3.12	Brooklyn, NYC
10	Riverside	California	18,664.70	7,206.48	2,189,641	2,450,758	261,117	11.93	Riverside
11	Queens	New York	281.10	108.53	2,230,722	2,278,906	48,184	2.16	Queens, NYC
12	King	Washington	5,479.29	2,115.57	1,931,249	2,233,163	301,914	15.63	Seattle
13	Clark	Nevada	20,438.71	7,891.43	1,951,269	2,231,647	280,378	14.37	Las Vegas
14	San Bernardino	California	51,947.23	20,056.94	2,035,210	2,171,603	136,393	6.70	San Bernardino
15	Tarrant	Texas	2,236.74	863.61	1,809,034	2,084,931	275,897	15.25	Fort Worth
16	Bexar	Texas	3,211.12	1,239.82	1,714,773	1,986,049	271,276	15.82	San Antonio
17	Broward	Florida	3,133.33	1,209.79	1,748,066	1,951,260	203,194	11.62	Fort Lauderdale
18	Santa Clara	California	3,341.34	1,290.10	1,781,642	1,937,570	155,928	8.75	San Jose
19	Wayne	Michigan	1,585.28	612.08	1,820,584	1,753,893	-66,691	-3.66	Detroit
20	Alameda	California	1,914.05	739.02	1,510,271	1,666,753	156,482	10.36	Oakland
21	New York	New York	59.13	22.83	1,585,873	1,628,701	42,828	2.70	Manhattan NYC
22	Middlesex	Massachusetts	2,118.14	817.82	1,503,085	1,614,714	111,629	7.43	Lowell and Cambridge
